runs_test_p_value,longest_run_ones_in_a_block_p_value,binary_matrix_rank_p_value,non_overlapping_template_matching_p_value,maurers_universal_p_value,serial_test_p_value_1,serial_test_p_value_2,approximate_entropy_p_value,cumulative_sums_p_value_1,cumulative_sums_p_value_2,random_excursions_p_value_1,random_excursions_p_value_2,random_excursions_p_value_3,random_excursions_p_value_4,random_excursions_p_value_5,random_excursions_p_value_6,random_excursions_p_value_7,random_excursions_p_value_8,random_excursions_variant_p_value_1,random_excursions_variant_p_value_2,random_excursions_variant_p_value_3,random_excursions_variant_p_value_4,random_excursions_variant_p_value_5,random_excursions_variant_p_value_6,random_excursions_variant_p_value_7,random_excursions_variant_p_value_8,random_excursions_variant_p_value_9,random_excursions_variant_p_value_10,random_excursions_variant_p_value_11,random_excursions_variant_p_value_12,random_excursions_variant_p_value_13,random_excursions_variant_p_value_14,random_excursions_variant_p_value_15,random_excursions_variant_p_value_16,random_excursions_variant_p_value_17,random_excursions_variant_p_value_18,byte_entropy_between_packets,bit_entropy_between_packets,byte_entropy,intra_packet_bit_entropy,ciphertext_length_bytes,ciphertext_length_mod_8,ciphertext_length_mod_16,ciphertext_length_mod_32,unique_byte_count,zero_byte_ratio,printable_byte_ratio,bit_one_ratio,bit_zero_ratio,unique_16byte_block_count,repeated_16byte_block_ratio,compression_ratio,label
1.0,0.966336,0.751861,0.213316,1.0,0.190403,0.438459,7.752,1.0,0.676072,0.121863,0.630276,0.714072,0.454455,0.183943,0.33249,0.418945,0.556819,0.394027,0.770566,0.265016,0.030584,0.328182,0.954667,0.378053,1.0,0.697445,0.200672,0.299714,0.623012,0.196707,1.0,0.252733,0.754283,0.988039,0.51724,7.681,7.8545,8.0,8.0,3160,0,8,24,256,0.005089,0.41045,0.519295,0.480705,189,0.040609,0.980573,AES
1.0,1.0,0.322305,0.355108,0.713522,0.828999,0.370191,7.3258,1.0,0.46669,0.34955,0.537173,0.679708,0.183291,0.422995,0.138428,0.413738,1.0,0.729934,0.471312,0.210735,0.403464,0.825727,0.325877,0.94963,0.074173,0.410086,1.0,0.0,0.868408,0.0,0.472075,0.446514,0.755531,0.0,0.0,7.2242,7.3689,7.1456,7.307,66,2,2,2,64,0.000815,0.335145,0.494363,0.505637,3,0.25,1.001639,ECC
0.571683,1.0,0.981309,0.649781,0.372946,0.011117,0.196947,7.9925,0.870682,0.0,0.44038,0.522338,0.132689,0.514424,0.923406,0.088792,0.190299,0.649805,0.072586,0.644128,0.162915,0.74668,0.704622,0.789332,0.778752,0.469297,0.372003,0.12681,0.858474,0.064833,0.699845,0.300765,0.332146,0.941966,0.554742,0.0,7.8481,7.7802,7.3928,7.3632,62,6,14,30,42,0.009024,0.338532,0.49737,0.50263,2,0.333333,0.981178,RC4
0.66302,0.556253,0.659561,0.400355,0.50094,0.699258,0.28319,7.8997,0.640287,0.452807,1.0,0.840795,0.464485,0.473206,0.718623,0.527644,0.414297,0.646253,0.59885,0.634335,0.781042,0.093475,0.535594,0.468299,0.385045,0.682416,0.295824,0.413412,0.431374,0.686844,0.693932,0.46235,0.384895,0.790379,0.626152,0.924611,7.2889,7.619,7.7741,8.0,11008,0,0,0,256,0.0,0.319377,0.499788,0.500212,661,0.039244,0.983661,ChaCha20
0.832966,0.0,0.536103,0.27873,0.569867,0.293535,0.586506,7.5296,0.518552,0.0,0.42923,0.347484,0.856944,0.74974,1.0,0.633994,0.788901,0.561467,0.960884,0.9996,0.351065,0.784658,0.665758,1.0,0.711128,0.292712,0.252722,0.497211,0.851286,1.0,1.0,0.221357,0.324629,1.0,0.616452,0.171582,7.7179,7.5432,7.415,7.7163,65,1,1,1,51,0.000472,0.416045,0.52471,0.47529,4,0.0,0.992167,ECC
0.291114,0.103506,0.019129,0.217405,0.63368,0.447356,0.506854,7.7338,0.78769,0.243899,0.682843,0.392263,1.0,0.716272,0.714347,0.362811,0.361955,0.589694,0.74116,0.41533,0.364484,0.506284,0.623024,0.394605,0.07181,0.628367,0.468771,0.0,0.068404,0.740365,0.675351,0.756364,0.782636,0.702704,0.0,0.902844,7.9061,7.7271,7.1283,7.885,1776,0,0,16,256,0.0,0.31194,0.487283,0.512717,100,0.099099,1.005635,Blowfish
1.0,0.286223,0.671097,0.604111,0.0,0.0,0.762382,7.2676,1.0,0.43927,0.652496,1.0,0.066695,0.333521,0.572755,0.258253,0.568735,0.0,0.26097,0.329164,1.0,0.3821,0.0,0.332325,0.990417,0.901856,0.690185,0.708968,0.585213,0.052786,0.737892,0.505655,0.721219,0.726609,0.570376,0.558324,6.9844,7.2727,6.9811,7.0539,256,0,0,0,221,0.009052,0.373529,0.516283,0.483717,16,0.0,0.971987,RSA
0.867856,0.677759,0.177826,0.814665,0.0,0.590201,0.660244,7.9639,0.464044,0.480426,0.483502,0.969579,0.29611,0.470395,0.918731,0.537549,0.158045,0.667312,0.928959,0.822352,0.811971,0.202421,0.606965,0.074154,0.621683,0.870908,0.586771,0.820462,0.252042,0.639621,0.811662,0.728032,0.402285,0.299841,0.940127,1.0,8.0,8.0,8.0,7.9798,3088,0,0,16,256,0.000702,0.316807,0.4951,0.5049,175,0.093264,0.99896,AES
0.833156,0.178408,0.905083,0.442518,0.292939,0.82582,0.618382,8.0,0.542363,0.656984,0.676575,0.290765,0.549979,0.142285,0.717075,0.0,1.0,0.434692,0.205453,0.247662,1.0,0.629555,0.629543,0.319133,0.711253,0.929207,0.424281,0.766339,1.0,0.542462,0.251618,0.401206,0.77805,0.839518,0.991305,0.611925,7.8144,8.0,7.6353,7.9541,188,4,12,28,68,0.005297,0.330544,0.500178,0.499822,9,0.181818,0.983612,RC4
0.353996,0.691876,0.397797,0.438887,0.664313,0.89263,0.531761,8.0,0.453859,0.298252,0.388365,0.563839,0.732869,1.0,0.759157,0.657054,1.0,0.456198,0.618365,0.394144,0.813785,0.800718,0.480791,0.655498,0.422976,0.563244,0.253712,0.466097,0.446905,0.799516,0.586622,0.332685,0.50254,0.625184,0.497812,0.844266,7.6769,8.0,7.8999,8.0,16064,0,0,0,256,0.007321,0.252276,0.532819,0.467181,915,0.088645,1.010291,ChaCha20
0.220331,0.332792,0.321757,0.672249,0.380812,0.740815,0.690542,8.0,0.781209,0.747462,0.743257,0.370159,0.444054,0.0,0.604608,0.324608,0.636448,0.67297,0.127893,0.225987,0.41869,0.369896,0.568436,0.184927,0.533682,0.030339,0.0,0.727832,0.141459,0.357624,0.108965,0.111427,0.404332,0.401063,0.80495,0.650358,7.6973,7.9418,8.0,7.8587,83,3,3,19,77,0.006798,0.361227,0.493358,0.506642,4,0.2,1.017994,RC4
0.161386,0.605591,0.680217,0.0,0.017767,0.684115,0.372255,7.5876,0.356091,0.545297,0.645447,0.571385,0.734356,0.362457,0.443584,0.18491,0.622322,0.713425,0.231545,0.638934,0.351224,0.495711,0.355042,0.689472,0.298551,0.662949,0.102031,0.22473,0.455595,0.434439,0.882038,0.764401,0.420964,0.974492,0.170403,0.0,7.9112,7.6055,7.645,7.6942,93,5,13,29,73,0.007249,0.406901,0.522049,0.477951,5,0.0,1.002987,RC4
0.110673,0.0,0.365703,0.0,0.0,0.32387,0.131158,7.1453,0.268871,0.553342,0.573408,1.0,0.171484,0.419761,0.483248,0.497551,0.482623,0.27748,0.479462,0.0,0.4661,0.340745,0.117055,0.866551,0.611505,0.628226,0.71628,0.914287,0.476967,0.0,0.573783,0.696137,0.0,0.655362,0.427146,0.745762,6.9532,7.4292,6.7585,7.1335,671,7,15,31,191,0.0,0.439499,0.522152,0.477848,38,0.073171,0.987827,DES
0.217999,0.514484,0.621598,0.684764,0.05372,0.159893,0.834256,7.8485,0.053018,1.0,0.436109,0.1809,0.606007,0.605659,0.689213,0.787797,0.0,0.474171,1.0,0.867175,0.765266,0.0,0.792052,0.392966,0.296665,0.689991,0.429664,0.598473,0.56047,0.77081,0.893135,0.787828,0.436791,0.660114,1.0,0.674365,7.3141,7.8379,7.775,7.4903,161,1,1,1,155,0.006027,0.368357,0.512839,0.487161,10,0.0,0.968278,RC4
0.70307,0.673763,0.491344,0.606072,0.06861,0.768798,0.384491,7.791,0.843457,0.300615,0.867198,0.555982,0.528175,0.681253,0.158363,0.692291,0.537838,0.82052,0.457126,0.414638,0.627195,0.502783,0.179549,0.463752,0.887613,0.493,0.267567,0.727622,0.0,0.0,0.518796,0.572468,0.583916,0.261093,0.476355,0.114367,7.8127,7.3723,7.7242,7.8228,143,7,15,15,139,0.000475,0.276385,0.477561,0.522439,7,0.125,0.938429,RC4
0.443541,0.292982,0.457992,0.050781,0.374179,0.492235,0.429231,7.1067,0.751908,0.24342,0.799548,0.372651,0.388854,0.935259,0.508762,0.680365,0.523505,0.0,0.318769,0.543617,0.0,0.895286,0.371462,0.0,0.0,0.964187,0.024681,0.408955,0.74433,0.222672,0.562895,0.0,0.782285,0.606819,0.57643,0.03895,6.9976,7.1284,6.931,6.866,1270,6,6,22,256,0.002968,0.306755,0.538981,0.461019,72,0.088608,1.000626,DES
0.395322,1.0,0.628464,0.483172,0.341049,0.310442,0.658034,7.4165,0.673944,0.472947,0.12552,0.203665,0.625622,0.543469,0.569367,0.24742,0.241824,0.771991,0.174689,0.25182,0.785399,0.431592,0.551108,0.14247,0.232809,0.466225,0.390329,0.342555,0.877894,0.829378,0.233105,0.521723,0.310809,0.434622,0.499629,0.834651,7.9568,7.7555,8.0,7.6202,35,3,3,3,35,0.005651,0.363812,0.484326,0.515674,2,0.0,0.923106,RC4
0.404657,0.133067,0.436434,0.745254,0.758988,0.8943,0.442905,7.5388,0.362189,0.66344,1.0,0.450404,0.52915,0.848966,0.249083,0.799852,0.0,0.674178,0.927127,0.953536,0.776888,0.621369,0.429371,0.164953,0.239212,0.663679,0.361626,0.429604,0.451853,0.607483,0.146197,0.577142,0.890278,0.906984,0.121174,0.373473,7.6941,7.5546,7.1969,7.6713,1728,0,0,0,256,0.005353,0.387941,0.495341,0.504659,107,0.009259,0.972166,Blowfish
0.707658,0.443568,0.39091,0.362663,0.749989,0.75031,0.311066,7.9008,0.891531,1.0,0.807585,0.90215,0.53747,0.264974,0.776811,0.330941,0.627311,0.546595,0.943558,0.700895,0.278586,0.4317,0.627603,0.341939,0.411474,0.37503,0.455794,0.451818,0.876557,0.522753,0.728017,0.242221,0.571422,0.693032,0.850213,0.698908,7.7987,7.976,7.7971,7.8309,11968,0,0,0,256,0.005966,0.385228,0.483764,0.516236,694,0.072193,0.983376,ChaCha20
0.452709,0.727606,0.704228,0.636145,0.139426,0.783505,0.487181,7.6805,0.637961,0.727872,0.227585,0.345973,0.511917,0.093743,0.093808,0.444168,0.454303,0.546685,0.848644,0.347889,0.704689,0.43227,0.415976,0.564832,0.0,0.501898,0.269375,0.173153,0.0,0.333846,0.0,0.767141,0.401029,0.0,0.257737,0.729135,7.0572,7.1325,7.1114,7.1692,512,0,0,0,199,0.00591,0.287814,0.491956,0.508044,27,0.15625,0.983256,RSA
0.0,1.0,0.261397,0.421665,0.762856,0.830129,0.452322,7.8,0.964953,0.631014,0.636758,0.18896,0.883776,1.0,0.948598,1.0,0.399056,0.783305,0.10518,0.147278,0.233063,0.328341,0.184166,0.499477,0.216232,0.393226,0.778718,0.547144,0.752428,0.711311,0.299959,1.0,0.803562,0.225908,0.333114,0.389687,7.4011,7.2277,7.6081,7.6784,17,1,1,17,6,0.0,0.33788,0.503012,0.496988,0,1.0,0.970671,RC4
0.131733,0.344864,0.667632,0.851437,0.279808,0.701247,0.651171,8.0,0.290923,0.331589,0.830301,0.155807,0.450481,0.20112,0.0,0.15317,0.260925,0.589529,0.870617,0.460523,0.180984,0.472063,0.279027,0.010932,0.321819,0.059133,0.518892,0.89379,0.783991,0.48573,0.335538,1.0,1.0,0.49269,0.421586,0.109021,7.6463,7.9389,7.3996,7.7121,3008,0,0,0,256,0.000638,0.32212,0.515889,0.484111,170,0.095745,0.977796,AES
0.333732,0.655085,0.334074,0.112362,0.169628,0.487255,0.186844,7.0611,0.0,0.221401,0.3423,0.235955,0.082052,0.117279,0.422567,0.875859,0.0,0.311597,0.712656,0.507027,0.369998,0.255772,0.404244,0.367659,0.0,0.170949,0.0,0.813138,0.663248,0.147765,0.657561,1.0,0.200616,0.815768,0.516002,0.324256,6.7746,6.9066,6.9452,6.4842,1898,2,10,10,256,0.004747,0.344513,0.51816,0.48184,105,0.110169,0.959817,DES
0.624385,0.576143,0.491582,0.550668,0.803424,0.578181,0.912262,7.9394,0.009913,0.622581,0.766607,0.373867,0.64298,0.714419,0.744781,0.836243,0.592677,0.760316,0.562863,0.159365,0.216886,0.426202,0.822139,1.0,0.973679,0.317751,0.493994,0.589791,0.52236,0.460324,0.740259,0.770877,0.602385,0.794333,0.638024,1.0,8.0,7.902,7.9538,7.9241,10944,0,0,0,256,0.002342,0.301345,0.516359,0.483641,671,0.019006,1.015676,ChaCha20
0.469283,0.268077,0.822852,0.512794,0.71438,1.0,0.327146,7.9961,0.841223,0.583054,0.435773,0.072772,0.620772,0.150554,0.7937,0.22338,0.457378,0.295215,0.671022,0.303109,0.366774,0.558278,0.705852,0.539398,0.856444,0.124897,0.691821,0.896194,0.851091,1.0,0.247378,0.734917,0.540232,0.316612,0.818522,0.438893,8.0,8.0,7.6934,8.0,9408,0,0,0,256,0.0,0.405994,0.499307,0.500693,504,0.142857,0.963726,ChaCha20
0.461088,0.607241,1.0,0.495,1.0,0.803939,0.811472,7.8087,0.578765,0.029365,0.934,0.463289,0.0,0.95739,0.087082,0.914026,0.754545,0.364382,0.344839,0.13056,0.110567,0.416792,0.415188,0.668597,0.173922,0.437469,0.491455,0.316143,0.58218,0.521357,0.390169,0.934022,0.176508,0.421503,0.617276,0.324122,7.6505,7.9186,8.0,7.6122,32,0,0,0,29,0.0,0.391413,0.502646,0.497354,1,0.5,0.98763,RC4
0.549488,0.531087,0.05966,0.183455,0.99692,0.643217,0.282903,7.3011,0.614545,1.0,0.846416,0.615686,0.331769,1.0,0.446489,0.192731,0.077319,0.195409,0.359852,0.732582,0.781351,0.859853,0.530482,0.754393,1.0,0.780396,1.0,0.0,0.235206,0.232132,0.0,0.504314,0.939508,0.303345,0.544496,0.198162,7.082,7.2685,6.913,7.4818,512,0,0,0,189,0.005483,0.315682,0.490463,0.509537,27,0.15625,0.955071,RSA
0.882652,0.445578,0.663977,0.681446,0.640904,0.920483,1.0,7.5416,0.909305,0.7756,0.603767,0.733456,0.338136,0.170316,0.651253,0.386452,0.554181,0.055726,0.211043,0.400249,0.698017,0.32917,0.569134,0.506399,1.0,0.23463,1.0,1.0,0.30571,0.548549,0.364541,0.400347,0.836508,0.333157,0.565313,0.239764,7.5386,7.7125,7.7391,8.0,131,3,3,3,44,0.005565,0.274317,0.501283,0.498717,6,0.25,0.972474,RC4
0.464654,0.584696,0.82409,0.128102,0.878892,0.538748,0.086499,7.4871,0.444454,0.690331,0.548791,0.886582,0.510179,0.879322,0.75527,0.405305,0.529133,0.153781,0.418613,0.014646,0.027309,0.618746,0.401355,0.631941,0.316782,0.444834,1.0,0.0,0.852398,0.402968,0.562596,0.400077,0.539203,0.413892,0.663037,0.506543,7.6186,7.6141,7.7782,7.8171,960,0,0,0,255,0.003712,0.342503,0.479831,0.520169,51,0.15,0.985861,Blowfish
0.399661,0.554242,0.213246,0.594615,0.062969,0.850349,0.840424,8.0,0.41653,0.571667,0.460811,0.469653,0.328473,0.952601,1.0,0.901336,0.419523,0.647552,0.531277,0.400358,0.648283,0.509583,0.961706,0.581062,0.849834,0.650405,0.396301,0.79822,0.345662,0.305042,1.0,0.839807,0.46244,0.422872,1.0,0.504194,8.0,7.6295,8.0,8.0,11641,1,9,25,256,0.005129,0.355668,0.538256,0.461744,689,0.05227,0.970685,ChaCha20
0.801141,1.0,0.753422,0.570078,0.893125,0.987745,0.847228,7.422,0.432228,0.918148,0.016723,0.312452,0.384411,0.214477,0.183137,0.87819,0.665466,0.106062,0.987232,0.784775,0.472936,0.662089,0.563356,0.668545,0.223253,0.295994,0.0,0.103202,0.353592,0.927368,0.618694,0.228952,0.602132,0.927138,0.413648,0.685622,7.7186,7.7994,7.9479,7.7211,1072,0,0,16,256,0.003669,0.398578,0.502447,0.497553,62,0.074627,0.978683,AES
0.415771,0.600908,0.80474,0.385854,0.509924,0.361028,0.771843,7.8129,0.163218,0.373985,0.603571,0.578573,0.118824,0.364875,0.628595,0.0,0.809133,0.524018,0.587836,0.026122,0.0,0.15598,0.516595,0.863667,0.427718,0.332052,0.471872,0.735509,0.610386,0.644048,0.458871,0.749892,0.55788,0.221974,0.95015,0.335447,7.3478,7.6888,7.555,7.7139,40,0,8,8,36,5.6e-05,0.288121,0.491347,0.508653,1,0.5,1.005849,Blowfish
0.339474,1.0,0.665989,0.806854,1.0,0.45472,0.500802,8.0,0.273082,0.618491,0.611554,0.842545,0.701348,0.371705,0.843062,0.811287,0.337249,0.428049,0.468548,0.312665,0.866167,0.519039,0.530542,0.340561,0.501365,0.971238,0.787072,0.195651,0.352573,0.7589,0.475469,0.46169,0.384877,0.267233,0.623822,0.504932,8.0,7.944,7.7284,8.0,15352,0,8,24,256,0.004717,0.304337,0.519657,0.480343,836,0.128259,0.974852,ChaCha20
0.537403,0.000272,0.188096,0.856277,1.0,0.739975,0.333295,6.9823,0.494447,0.0,0.436458,0.500337,0.458348,0.873954,0.048047,0.428744,0.160789,0.316759,0.039984,0.838762,0.149887,0.274584,0.438645,0.540879,0.751024,0.689001,0.639208,0.44096,0.649886,0.413571,0.342078,0.816613,0.581465,0.845184,0.129605,0.532876,7.1309,7.0013,7.0641,7.6159,128,0,0,0,34,0.00653,0.29133,0.494703,0.505297,8,0.0,0.979249,RSA
0.12179,0.461864,0.345906,0.776213,0.0,0.626673,0.367885,7.3278,0.334416,0.248584,0.450797,0.0,0.197953,0.599034,0.708548,0.505833,0.417098,0.960557,0.612237,0.122614,0.613921,0.145622,0.367811,0.648441,0.837346,0.793496,0.0,0.551492,0.384549,0.774305,0.384655,0.592356,0.301541,0.766112,0.709994,0.896775,7.6081,6.9293,7.1376,7.2476,672,0,0,0,207,0.006152,0.382408,0.512512,0.487488,37,0.119048,1.00539,3DES
0.223493,0.67571,0.0,0.368638,0.682185,0.444545,0.63946,7.9317,0.734483,1.0,0.095056,0.123905,0.838729,0.420502,0.616474,0.788648,0.129222,0.360769,0.236126,0.702325,0.442148,0.215656,0.705996,0.844916,0.578199,0.323739,0.722624,0.56222,0.398451,1.0,0.062788,0.319924,0.173362,0.53021,0.314472,0.41897,7.0511,7.5632,7.3704,7.6546,198,6,6,6,188,0.00462,0.40159,0.497439,0.502561,10,0.166667,0.960987,RC4
0.645196,0.554696,0.559965,1.0,1.0,0.860164,0.938225,8.0,0.702005,0.996026,0.414644,0.139189,0.396618,0.431183,0.273378,0.307818,0.77581,0.183205,0.321196,0.468646,0.475443,0.513209,0.806221,0.572631,0.046378,0.327767,0.065527,0.551459,0.653739,0.476204,0.600152,0.342526,0.787674,0.673333,0.383329,0.277283,8.0,8.0,7.8808,8.0,14060,4,12,12,256,0.006661,0.405115,0.486529,0.513471,765,0.128702,0.976044,ChaCha20
